Gene	Symbol	nTx	tTx	Score	Sign
22924	MAPRE3	uc002rhw.2	uc002rhx.2	0.291505885644571	Mutual exclusion
9908	G3BP2	uc003hit.2	uc003hir.2	0.290491606757561	Mutual exclusion
49854	ZNF295	uc002yzy.3	uc002yzz.3	0.289384809180998	Mutual exclusion
57698	KIAA1598	uc009xyw.2	uc001lcz.3	0.288969691855625	Mutual exclusion
81488	GRINL1A	uc002aet.3	uc002aeu.3	0.288651260950849	Mutual exclusion
55425	KIAA1704	uc001uzr.1	uc001uzt.2	0.287956571788364	Mutual exclusion
23705	CADM1	uc001ppl.2	uc001ppi.3	0.287453505312304	Mutual exclusion
5142	PDE4B	uc001dcq.2	uc009was.2	0.286632378818098	Mutual exclusion
78989	COLEC11	uc002qya.2	uc010ewp.2	0.285683250280333	Mutual exclusion
201134	CCDC46	uc002jfl.2	uc002jfk.2	0.285467813229978	Mutual exclusion
5914	RARA	uc002hun.1	uc010wfe.1	0.285207057836947	Mutual exclusion
79869	CPSF7	uc001nrq.2	uc001nro.2	0.284942766482471	Mutual exclusion
7132	TNFRSF1A	uc001qnu.2	uc010sfa.1	0.284516458320615	Mutual exclusion
54872	PIGG	uc003gak.3	uc010ibf.2	0.28384339863355	Mutual exclusion
8575	PRKRA	uc002umf.2	uc002umd.2	0.283333367953917	Mutual exclusion
2710	GK	uc004dci.3	uc004dch.3	0.282990381209887	Mutual exclusion
5787	PTPRB	uc001swb.3	uc010stp.1	0.282913627808632	Mutual exclusion
3248	HPGD	uc003itu.2	uc011ckh.1	0.282503694188788	Mutual exclusion
1495	CTNNA1	uc003ldh.2	uc003ldl.2	0.282490343531976	Mutual exclusion
7673	ZNF222	uc002oye.2	uc002oyc.2	0.281535777191679	Mutual exclusion
54675	CRLS1	uc010gbr.2	uc002wmn.3	0.280392965523786	Mutual exclusion
4756	NEO1	uc010ukx.1	uc002avm.3	0.280238052213143	Mutual exclusion
6772	STAT1	uc002usj.2	uc002usk.2	0.27986530108229	Mutual exclusion
